LFQ intensity delta10G-1-3h	LFQ intensity delta10G-2-3h	LFQ intensity delta10G-3-3h	LFQ intensity wt-1-3h	LFQ intensity wt-2-3h	LFQ intensity wt-3-3h	Protein names	Gene names
36.32401	36.3172	36.3796	36.23029	36.32754	36.40686	DNA-directed RNA polymerase subunit beta	rpoC
36.1566	36.26406	36.18982	36.12713	36.27201	36.3035	DNA-directed RNA polymerase subunit beta	rpoB
32.91451	32.9785	33.17366	32.94693	33.07053	33.29639	Chromosome partition protein MukB	mukB
35.06302	34.8824	35.07822	34.87651	35.09475	34.96568	Translation initiation factor IF-2	infB
34.78376	34.68839	34.98766	34.81674	34.72801	34.87532	Chaperone protein ClpB	clpB
36.42378	36.25209	36.40015	36.27767	36.31866	36.27102	Carbamoyl-phosphate synthase large chain	carB
30.91328	30.93832	30.89771	30.65762	30.87738	31.04863	ATP-dependent RNA helicase HrpA	hrpA
36.68904	36.67845	36.78902	36.73378	36.62119	36.69489	Pyruvate dehydrogenase E1 component	aceE
32.46932	32.41647	32.49843	32.37366	32.36919	32.63903	Type I restriction enzyme EcoKI R protein	hsdR
25.53561	24.48382	24.77107	24.02563	24.82939	24.25875	Chaperone protein ClpB	clpB
32.89152	33.13464	33.01367	33.3933	33.41702	33.6427	Bifunctional protein PutA;Proline dehydrogenase;Delta-1-pyrroline-5-carboxylate dehydrogenase	putA
31.88304	32.08427	32.16666	32.05679	32.14044	32.04645	Glutamate synthase [NADPH] large chain	gltB
31.44766	31.40248	31.61925	31.48836	31.53111	31.87749	Phosphoribosylformylglycinamidine synthase	purL
34.143	34.33498	34.28127	34.32764	34.34883	34.41223	Valine--tRNA ligase	valS
34.50326	34.48544	34.62783	34.70882	34.5624	34.63076	Alanine--tRNA ligase	alaS
30.14248	30.54407	30.27153	30.08373	30.43281	30.49381	Uncharacterized lipoprotein YfhM	yfhM
33.93728	33.95896	33.94341	33.63731	33.80434	33.93763	Ribonuclease E	rne
35.62465	35.72225	35.9028	35.45553	35.48457	35.33774	Formate acetyltransferase 1	pflB
36.3669	36.48876	36.60167	36.55328	36.53425	36.40942	Aconitate hydratase B	acnB
36.60609	36.46706	36.72263	36.43924	36.61325	36.67241	Chaperone protein DnaK	dnaK
33.53264	33.27864	33.45403	33.16069	33.1381	33.17262	Protein translocase subunit SecA	secA
34.60466	34.68833	34.77985	34.65805	34.71492	34.77151	Glycine--tRNA ligase beta subunit	glyS
34.46812	34.55716	34.54236	34.59541	34.59457	34.5611	Leucine--tRNA ligase	leuS
34.79416	34.99505	35.02729	35.07679	35.01347	35.08314	Aldehyde-alcohol dehydrogenase;Alcohol dehydrogenase;Acetaldehyde dehydrogenase [acetylating];Pyruvate-formate-lyase deactivase	adhE
35.07028	35.15964	35.1937	35.06322	35.16781	35.38934	2-oxoglutarate dehydrogenase E1 component	sucA
32.23746	32.15777	32.30029	32.06069	32.12257	32.36698	Ribonuclease R	rnr
31.12349	31.47053	31.40902	31.35783	31.44865	31.60227	Transcription-repair-coupling factor	mfd
34.4157	34.48081	34.47683	34.33731	34.48376	34.61401	DNA gyrase subunit A	gyrA
32.03069	32.12006	31.97292	31.88947	32.00919	32.12891	DNA topoisomerase 1	topA
36.93265	36.74485	36.93693	36.83434	36.82584	36.75247	30S ribosomal protein S1	rpsA
30.46441	30.45376	30.61851	30.73602	30.86629	30.80371	Putative lipoprotein AcfD homolog	yghJ
33.28278	33.67861	33.51888	33.25575	33.14423	33.35166	Formate dehydrogenase-O major subunit	fdoG
32.59395	32.83157	32.77028	32.7199	32.81593	33.0541	Phosphoenolpyruvate carboxylase	ppc
34.41903	34.46259	34.56246	34.39956	34.47804	34.63526	Isoleucine--tRNA ligase	ileS
33.8728	33.89925	33.81153	33.95073	33.82012	34.00688	Phenylalanine--tRNA ligase beta subunit	pheT
