"","school","student","sex","score1","score2"
"1","20920","16",0,23,NA
"2","20920","25",1,NA,71.2
"3","20920","27",1,39,76.8
"4","20920","31",1,36,87.9
"5","20920","42",0,16,44.4
"6","20920","62",1,36,NA
"7","20920","101",1,49,89.8
"8","20920","113",0,25,17.5
"9","20920","146",0,NA,32.4
"10","22520","1",1,48,84.2
"11","22520","7",0,46,66.6
"12","22520","9",1,28,47.2
"13","22520","15",1,43,80.5
"14","22520","16",0,29,57.4
"15","22520","18",1,25,42.5
"16","22520","21",0,30,36.1
"17","22520","24",1,44,58.3
"18","22520","25",0,30,37.9
"19","22520","27",1,26,74
"20","22520","29",0,30,41.6
"21","22520","34",1,39,76.8
"22","22520","37",1,41,34.2
"23","22520","41",1,44,86.1
"24","22520","42",0,36,56.4
"25","22520","43",1,45,42.5
"26","22520","45",1,41,63.8
"27","22520","47",1,28,20.3
"28","22520","52",1,31,51.8
"29","22520","53",1,33,NA
"30","22520","55",1,51,76.8
"31","22520","57",0,51,65.7
"32","22520","60",1,38,56.4
"33","22520","63",0,44,75.9
"34","22520","64",1,41,76.8
"35","22520","66",1,32,66.6
"36","22520","67",0,41,31.4
"37","22520","69",0,36,51.8
"38","22520","73",0,41,NA
"39","22520","74",0,36,NA
"40","22520","78",1,13,28.7
"41","22520","83",0,34,46.2
"42","22520","84",1,23,51.8
"43","22520","85",1,26,66.6
"44","22520","87",1,36,79.6
"45","22520","90",1,25,39.8
"46","22520","91",0,33,47.2
"47","22520","97",1,64,NA
"48","22520","104",0,31,62.9
"49","22520","106",0,33,40.7
"50","22520","108",1,57,90.7
"51","22520","110",0,26,51.8
"52","22520","111",1,33,54.6
"53","22520","112",1,45,95.3
"54","22520","115",0,3.1,9.25
"55","22520","116",1,25,NA
"56","22520","121",1,27,26.8
"57","22520","128",0,23,50
"58","22520","131",0,39,44.4
"59","22520","134",0,64,59.2
"60","22520","137",1,NA,41.6
"61","22520","141",1,38,NA
"62","22520","143",1,53,87.9
"63","22520","144",1,46,93.5
"64","22520","146",1,40,75.9
"65","22520","153",0,28,26.8
"66","22520","156",1,NA,25
"67","22520","157",1,27,61.1
"68","22520","163",1,40,54.6
"69","22520","164",1,39,76.8
"70","22520","165",1,NA,46.2
"71","22520","170",1,30,80.5
"72","22520","177",1,32,41.6
"73","22520","178",1,26,60.1
"74","22520","181",1,35,53.7
"75","22710","5",1,NA,93.5
"76","22710","11",0,41,91.6
"77","22710","44",0,20,NA
"78","22710","46",0,36,94.4
"79","22710","49",0,55,94.4
"80","22710","50",1,NA,94.4
"81","22710","53",1,NA,80.5
"82","22710","54",1,40,NA
"83","22710","57",1,11,73.1
"84","22710","58",0,33,80.5
"85","22710","77",1,0.6,41.6
"86","22710","79",1,31,93.5
"87","22710","84",1,41,90.7
"88","22710","90",0,21,60.1
"89","22710","102",1,26,82.4
"90","22710","103",1,30,82.4
"91","22710","109",0,35,78.7
"92","22710","169",1,55,94.4
"93","22738","7",1,43,75
"94","22738","32",0,53,58.3
"95","22738","87",0,51,82.4
"96","22738","106",1,59,75
"97","22738","119",0,58,80.5
"98","22738","127",1,48,NA
"99","22738","159",1,50,82.4
"100","22738","173",0,63,60.1
"101","22738","180",0,51,NA
"102","22738","203",0,49,69.4
"103","22908","6",1,55,62
"104","22908","17",0,61,83.3
"105","22908","24",1,52,NA
"106","22908","42",1,NA,52.7
"107","22908","66",1,NA,46.2
"108","22908","69",1,60,71.2
"109","23208","1",1,60,84.2
"110","23208","9",1,33,95.3
"111","23208","11",1,44,78.7
"112","23208","12",1,45,38.8
"113","23208","13",0,58,88.8
"114","23208","18",1,36,78.7
"115","23208","28",1,38,90.7
"116","23208","30",0,76,78.7
"117","23208","31",1,33,87
"118","23208","37",1,45,78.7
"119","23208","39",1,49,83.3
"120","23208","40",0,82,69.4
"121","23208","43",1,44,56.4
"122","23208","46",1,48,91.6
"123","23208","48",1,58,82.4
"124","23208","51",0,48,NA
"125","23208","53",1,52,80.5
"126","23208","60",1,52,83.3
"127","23208","61",1,26,80.5
"128","23208","65",1,43,83.3
"129","23208","80",0,76,80.5
"130","23208","83",0,NA,87
"131","23208","91",1,NA,78.7
"132","25241","5047",0,59,NA
"133","25241","5049",0,67,67.5
"134","25241","5111",0,64,72.2
"135","25241","5146",0,68,72.2
"136","25241","5156",1,NA,72.2
"137","30474","8",0,71,89.8
"138","30474","12",0,61,95.3
"139","30474","16",0,68,NA
"140","30474","18",0,30,87
"141","30474","20",0,48,56.4
"142","30474","27",0,55,75
"143","30474","28",0,49,NA
"144","30474","34",0,68,77.7
"145","30474","39",0,83,NA
"146","30474","45",0,62,76.8
"147","30474","46",0,80,79.6
"148","30474","49",0,56,67.5
"149","30474","54",0,64,87.9
"150","30474","62",0,53,89.8
"151","30474","80",0,68,98.1
"152","30474","83",0,71,90.7
"153","30474","89",0,60,78.7
"154","30474","95",0,NA,82.4
"155","30474","97",0,63,84.2
"156","30474","100",0,39,74
"157","30474","104",0,66,83.3
"158","30474","106",0,63,81.4
"159","30474","107",0,53,87.9
"160","30474","116",1,36,64.8
"161","30474","118",1,43,61.1
"162","30474","132",1,61,76.8
"163","30474","152",1,46,66.6
"164","30474","153",1,NA,80.5
"165","30474","154",1,NA,77.7
"166","30474","157",1,51,75
"167","30474","160",1,NA,83.3
"168","30474","163",1,79,86.1
"169","30474","164",1,NA,91.6
"170","30474","165",1,48,NA
"171","30474","166",1,NA,67.5
"172","30474","183",1,NA,87.9
"173","30474","186",1,41,94.4
"174","30474","187",1,79,98.1
"175","30474","190",1,53,93.5
"176","30474","192",1,65,97.2
"177","30474","194",1,46,85.1
"178","30474","197",1,53,88.8
"179","30474","203",1,51,86.1
"180","30474","208",1,40,85.1
"181","30474","232",1,55,NA
"182","35270","13",1,46,62
"183","35270","14",1,46,56.4
"184","35270","15",0,NA,63.8
"185","35270","16",0,41,NA
"186","35270","27",1,64,69.4
"187","35270","28",0,28,50
"188","35270","29",1,63,69.4
"189","35270","33",1,46,59.2
"190","35270","34",0,55,67.5
"191","35270","40",0,65,58.3
"192","35270","45",0,NA,58.3
"193","35270","46",0,52,48.1
"194","37224","5",1,52,58.3
"195","37224","9",0,40,64.8
"196","37224","12",1,59,62
"197","37224","14",0,48,68.5
"198","37224","24",0,44,59.2
"199","37224","26",1,50,61.1
"200","37224","29",0,53,NA
"201","37224","36",0,59,87
"202","37224","40",1,35,70.3
"203","37224","53",0,48,38.8
"204","37224","68",0,31,71.2
"205","37224","73",1,28,65.7
"206","37224","77",1,52,50.9
"207","37224","78",0,NA,62
"208","37224","81",0,37,51.8
"209","37224","88",0,60,70.3
"210","37224","106",0,40,55.5
"211","37224","110",1,37,63.8
"212","37224","116",0,51,75.9
"213","37224","122",0,26,65.7
"214","37224","124",0,43,73.1
"215","37224","129",0,NA,81.4
"216","37224","137",1,NA,73.1
"217","37224","143",1,51,78.7
"218","37224","144",0,53,73.1
"219","37224","145",0,52,57.4
"220","37224","148",1,44,75
"221","37224","154",0,46,69.4
"222","37224","157",1,43,51.8
"223","37224","180",0,37,NA
"224","37224","185",1,55,75.9
"225","37224","189",0,46,71.2
"226","37224","200",1,44,73.1
"227","37224","203",0,68,73.1
"228","37224","204",0,41,62.9
"229","37224","221",0,41,69.4
"230","37224","231",0,30,65.7
"231","37224","265",1,48,80.5
"232","37224","268",1,49,68.5
"233","37224","272",1,NA,72.2
"234","37224","282",0,51,61.1
"235","37224","286",1,50,NA
"236","37224","293",1,44,65.7
"237","37224","295",1,43,46.2
"238","47627","93",1,46,67.5
"239","47627","97",1,53,69.4
"240","47627","101",0,71,75
"241","47627","105",0,37,58.3
"242","47627","106",0,50,17.5
"243","47627","107",0,70,67.5
"244","50627","8",0,57,60.1
"245","50627","32",0,53,NA
"246","50627","40",0,62,57.4
"247","50627","52",0,50,54.6
"248","50627","53",0,39,31.4
"249","50627","57",0,41,50
"250","50627","69",0,45,55.5
"251","50627","76",0,49,33.3
"252","50627","81",0,45,52.7
"253","50627","86",0,62,55.5
"254","50627","94",0,46,48.1
"255","50627","96",0,58,35.1
"256","50627","107",1,40,58.3
"257","50627","109",1,48,81.4
"258","50627","122",1,41,61.1
"259","50627","128",1,71,72.2
"260","50627","131",1,41,NA
"261","50627","148",1,46,63.8
"262","50627","152",1,30,47.2
"263","50627","161",1,30,60.1
"264","50627","165",1,NA,63.8
"265","50627","166",1,NA,40.7
"266","50627","174",1,NA,65.7
"267","50627","183",1,52,59.2
"268","50631","5014",1,43,78.7
"269","50631","5026",0,48,72.2
"270","50631","5030",1,58,83.3
"271","50631","5034",1,48,79.6
"272","50631","5037",1,38,83.3
"273","50631","5041",0,73,96.2
"274","50631","5051",1,55,NA
"275","50631","5055",1,48,100
"276","50631","5056",0,52,98.1
"277","50631","5058",1,64,98.1
"278","50631","5060",1,43,99
"279","50631","5070",0,56,80.5
"280","50631","5086",1,45,98.1
"281","50631","5105",1,65,100
"282","50631","5110",1,49,94.4
"283","50631","5140",1,28,75
"284","50631","5151",1,50,100
"285","50631","5160",0,NA,97.2
"286","50631","5168",1,40,98.1
"287","50631","5177",0,60,94.4
"288","50631","5191",1,36,66.6
"289","60421","8",1,41,93.5
"290","60421","17",1,33,76.8
"291","60421","104",1,44,90.7
"292","60421","140",0,57,65.7
"293","60421","142",1,51,76.8
"294","60427","15",0,26,49
"295","60427","24",0,48,100
"296","60427","37",0,NA,52.7
"297","60427","50",0,46,86.1
"298","60427","58",0,65,99
"299","60427","70",0,35,NA
"300","60427","83",0,46,95.3
"301","60427","92",0,NA,78.7
"302","60427","96",0,46,86.1
"303","60427","112",0,45,93.5
"304","60427","114",0,20,53.7
"305","60427","210",1,71,100
"306","60427","211",1,63,100
"307","60427","223",1,52,100
"308","60427","224",1,63,100
"309","60427","234",1,33,77.7
"310","60427","240",1,44,NA
"311","60427","242",1,49,NA
"312","60427","250",1,63,100
"313","60427","255",1,36,98.1
"314","60427","265",1,62,100
"315","60427","284",1,18,NA
"316","60427","295",1,25,89.8
"317","60427","304",1,38,97.2
"318","60427","308",1,65,100
"319","60427","310",1,38,94.4
"320","60427","316",1,27,71.2
"321","60437","19",0,48,89.8
"322","60437","49",0,48,99
"323","60437","50",1,55,93.5
"324","60437","60",1,48,95.3
"325","60437","66",0,46,82.4
"326","60437","69",0,53,89.8
"327","60437","77",1,NA,95.3
"328","60437","86",1,35,74
"329","60437","99",1,70,91.6
"330","60437","103",0,56,96.2
"331","60437","104",1,46,90.7
"332","60437","119",1,NA,97.2
"333","60437","126",1,48,100
"334","60437","129",0,64,84.2
"335","60437","139",1,39,83.3
"336","60437","148",0,45,87
"337","60437","149",1,70,99
"338","60437","153",0,53,99
"339","60437","167",0,39,59.2
"340","60437","194",1,46,84.2
"341","60439","1009",0,46,87
"342","60439","1012",1,41,60.1
"343","60439","1016",1,57,NA
"344","60439","1031",1,53,86.1
"345","60439","1037",0,55,71.2
"346","60439","1045",0,38,NA
"347","60439","1088",0,NA,70.3
"348","60439","1094",1,58,77.7
"349","60439","1120",0,64,86.1
"350","60439","1123",0,73,81.4
"351","60439","1133",1,76,84.2
"352","60439","1147",0,NA,69.4
"353","60439","1152",1,60,61.1
"354","60441","201",1,38,81.4
"355","60441","204",1,41,66.6
"356","60441","211",0,39,63.8
"357","60441","222",1,45,75
"358","60441","237",1,57,57.4
